Type,location,id,edges--edge--constraints--MaxCapacityConstraint,edges--edge--constraints--CapacityConstraint,edges--edge--can_retire,edges--edge--unidirectional,edges--edge--commodity,edges--edge--can_expand,edges--edge--has_capacity,transforms--timedata,edges--edge--lifetime,edges--edge--wacc,edges--edge--capital_recovery_period,edges--edge--max_capacity,edges--edge--fixed_om_cost,edges--edge--variable_om_cost,edges--edge--investment_cost,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--header,edges--edge--end_vertex,edges--edge--existing_capacity,edges--edge--capacity_size,Note
VRE,BR_RS,BR_RS_Wind_Onshore_Class0,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,389072.1,50000,0,1000000,system/availability_wind_onshore.csv,BR_RS_Wind_Onshore_Class2,elec_BR_RS,3089.98,100,work in progress
VRE,BR_RS,BR_RS_Wind_Onshore_Class1,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,99324,50000,0,1000000,system/availability_wind_onshore.csv,BR_RS_Wind_Onshore_Class1,elec_BR_RS,1313.8,100,work in progress
VRE,BR_SC,BR_SC_Wind_Onshore_Class1,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,6224.482,50000,0,1000000,system/availability_wind_onshore.csv,BR_SC_Wind_Onshore_Class1,elec_BR_SC,178.599,100,work in progress
VRE,BR_SE,BR_SE_Wind_Onshore_Class1,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,39754.316,50000,0,1000000,system/availability_wind_onshore.csv,BR_SE_Wind_Onshore_Class1,elec_BR_SE,34.5,100,work in progress
VRE,BR_SP,BR_SP_Wind_Onshore_Class0,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,160730.998,50000,0,1000000,system/availability_wind_onshore.csv,BR_SP_Wind_Onshore_Class2,elec_BR_SP,0,100,work in progress
VRE,BR_SP,BR_SP_Wind_Onshore_Class1,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,34284.696,50000,0,1000000,system/availability_wind_onshore.csv,BR_SP_Wind_Onshore_Class1,elec_BR_SP,0,100,work in progress
VRE,BR_TO,BR_TO_Wind_Onshore_Class0,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,52462.332,50000,0,1000000,system/availability_wind_onshore.csv,BR_TO_Wind_Onshore_Class4,elec_BR_TO,0,100,work in progress
VRE,BR_TO,BR_TO_Wind_Onshore_Class1,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,129259.195,50000,0,1000000,system/availability_wind_onshore.csv,BR_TO_Wind_Onshore_Class1,elec_BR_TO,0,100,work in progress
VRE,BR_TO,BR_TO_Wind_Onshore_Class2,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,198664.455,50000,0,1000000,system/availability_wind_onshore.csv,BR_TO_Wind_Onshore_Class2,elec_BR_TO,0,100,work in progress
VRE,BR_TO,BR_TO_Wind_Onshore_Class3,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,88912.193,50000,0,1000000,system/availability_wind_onshore.csv,BR_TO_Wind_Onshore_Class3,elec_BR_TO,0,100,work in progress
